GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JadConfig,com.github.joschi.jadconfig.validators,PathReadableValidator,0,27,0,4,0,4,0,4,0,2
JadConfig,com.github.joschi.jadconfig.validators,DirectoryPathReadableValidator,0,32,0,6,0,4,0,5,0,2
JadConfig,com.github.joschi.jadconfig.guava.converters,HashCodeConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,UnsignedIntegerConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,HostSpecifierConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,CacheBuilderSpecConverter,0,32,0,2,0,7,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,UnsignedLongConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,InternetDomainNameConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,HostAndPortConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig.guava.converters,MediaTypeConverter,0,35,0,2,0,9,0,4,0,3
JadConfig,com.github.joschi.jadconfig,RepositoryException,4,12,0,0,2,6,1,3,1,3
JadConfig,com.github.joschi.jadconfig,Strings,3,8,0,2,2,1,1,2,1,1
JadConfig,com.github.joschi.jadconfig,ParameterException,4,12,0,0,2,6,1,3,1,3
JadConfig,com.github.joschi.jadconfig,TypeReference,5,85,2,10,1,15,2,11,0,7
JadConfig,com.github.joschi.jadconfig,DefaultConverterFactory,0,198,0,0,0,41,0,3,0,3
JadConfig,com.github.joschi.jadconfig,JadConfig,83,521,6,48,16,115,6,43,0,22
JadConfig,com.github.joschi.jadconfig,ValidationException,4,12,0,0,2,6,1,3,1,3
JadConfig,com.github.joschi.jadconfig,ReflectionUtils,3,97,0,8,2,18,1,8,1,4
JadConfig,com.github.joschi.jadconfig.repositories,EnvironmentRepository,0,56,0,2,0,17,0,9,0,8
JadConfig,com.github.joschi.jadconfig.repositories,InMemoryRepository,0,62,0,8,0,19,0,10,0,6
JadConfig,com.github.joschi.jadconfig.repositories,PropertiesRepository,35,99,4,10,6,25,4,10,1,6
JadConfig,com.github.joschi.jadconfig.repositories,SystemPropertiesRepository,0,26,0,0,0,9,0,6,0,6
JadConfig,com.github.joschi.jadconfig.util,Duration,25,386,5,13,4,71,6,26,1,22
JadConfig,com.github.joschi.jadconfig.util,SizeUnit,0,125,0,0,0,17,0,11,0,11
JadConfig,com.github.joschi.jadconfig.util,Size,25,428,5,13,4,80,6,24,1,20
JadConfig,com.github.joschi.jadconfig.jodatime.converters,DateTimeZoneConverter,0,30,0,2,0,7,0,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,DateTimeFormatterConverter,0,31,0,2,0,7,0,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,PeriodConverter,14,485,2,14,1,89,2,10,0,4
JadConfig,com.github.joschi.jadconfig.jodatime.converters,HoursConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,SecondsConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,IntervalConverter,5,35,1,3,1,8,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,YearsConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,WeeksConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,DaysConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,MinutesConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.jodatime.converters,DurationConverter,0,201,2,13,0,42,2,11,0,4
JadConfig,com.github.joschi.jadconfig.jodatime.converters,DurationConverter.new Object() {...},4,29,0,0,0,1,0,1,0,1
JadConfig,com.github.joschi.jadconfig.jodatime.converters,MonthsConverter,3,43,1,3,1,10,1,4,0,3
JadConfig,com.github.joschi.jadconfig.guice,NamedConfigParametersModule,16,127,0,12,2,30,0,12,0,6
JadConfig,com.github.joschi.jadconfig.guava,GuavaConverterFactory,0,53,0,0,0,12,0,3,0,3
